Title_URL,Image,About_Course,Duration,Price,Instructor,Rating,Title,Category
https://www.coursera.org/professional-certificates/akamai-network-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b3/30b26ed9e048cdac777b90285ab5e7/360x360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a network engineer.,5 months at 8 hours a week,449,Shadow Farell,4.8,Akamai Network Engineering Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-mainframe-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/91/3ae3bf6d924c9180182672d7302dab/LearnQuest-logo_1200x1200.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a mainframe developer.,6 months at 4 hours per week,449,Jeff Bisti,4.3,IBM Mainframe Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-ar-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,"Prepare for a career as an AR Developer. In this program, advance your software development skills with the latest augmented reality concepts, tools, and technologies..",3 months at 10 hours per week,449,Meta staff,4.6,Meta AR Developer  Professional Certificate,IT
https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/a4/7cd68a658840ddbb95c38cdd0bbc8e/aws-logo-icon-PNG-Transparent-Background.png?auto=format%2Ccompress&dpr=1,Start here to become an AWS Solutions Architect. Gain the skills and knowledge to design architectural solutions on AWS and prepare for your AWS Certified Solutions Architect - Associate exam..,4 months at 4 hours per week,449,Morgan Willis,4.8,AWS Cloud Solutions Architect  Professional Certificate,IT
https://www.coursera.org/professional-certificates/google-cloud-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=1,Advance your career as a Cloud Security Engineer.,1.5 months at 5 hours per week,449,Google Cloud Training,4.8,Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate,IT
https://www.coursera.org/professional-certificates/google-cloud-networking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=1,Advance your career as a Network Security Engineer.,1.5 months at 5 hours per week,449,Google Cloud Training,4.7,Preparing for Google Cloud Certification: Cloud Network Engineer Professional Certificate,IT
https://www.coursera.org/professional-certificates/gcp-cloud-architect,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=1,Advance your career as a Cloud Architect Engineer.,1.5 months at 5 hours per week,449,Google Cloud Training,4.8,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,IT
https://www.coursera.org/professional-certificates/cloud-engineering-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4e/c2f4c0f4bb11e69a33576c875f4294/cloud-twitter-avatar.png?auto=format%2Ccompress&dpr=1,Advance your career as a Cloud Engineer.,1.5 months at 5 hours per week,449,Google Cloud Training,4.8,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate,IT
https://www.udemy.com/course/machinelearning/,https://img-c.udemycdn.com/course/240x135/950390_270f_3.jpg,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,42.5 total hours,449,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team",4.5,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2024]",Data Science
https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-c.udemycdn.com/course/240x135/903744_8eb2.jpg,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",25 total hours,549,Jose Portilla,4.6,Python for Data Science and Machine Learning Bootcamp.,Data Science
